Designator,Mid X,Mid Y,Rotation,Layer
C1,125.0,-81.125,270.0,top
C10,86.0,-79.4,90.0,top
C2,121.0,-81.125,270.0,top
C3,121.3375,-69.500001,90.0,top
C4,116.3375,-69.500001,270.0,top
C5,119.5,-77.5,180.0,top
C6,119.48,-75.0,0.0,top
C7,115.8,-81.0,0.0,top
C8,129.0,-81.075,90.0,top
C9,133.5,-72.0,180.0,top
FB1,133.5,-75.5,180.0,top
J1,141.0,-79.11,90.0,top
J2,112.37,-90.475,90.0,top
R1,133.4,-81.2,180.0,top
R2,133.4,-82.4,180.0,top
R3,86.05,-76.8,180.0,top
SW1,82.4,-78.6,180.0,top
U2,127.5,-72.0,270.0,top
U3,109.25,-74.5,90.0,top
Y1,117.0,-76.25,90.0,top
Y2,118.8375,-69.500001,90.0,top
